job_title,skills
frontend-dev,"UI/UX, Bootstrap, Git, HTML"
java-dev,"OOP, Java, MySQL, Spring Boot"
cloud-engineer,"Kubernetes, Docker, Terraform, Networking"
data-analyst,"SQL, Excel, Tableau, Data Cleaning"
ml-engineer,"Data Preprocessing, Deep Learning, TensorFlow, MLOps, Python, PyTorch"
cyber-security,"Ethical Hacking, Network Security, Penetration Testing, Linux, Cryptography"
backend-dev,"Node.js, REST API, Flask, SQL, Python"
ml-engineer,"Data Preprocessing, TensorFlow, Deep Learning, Python"
cloud-engineer,"AWS, Networking, CI/CD, Docker, Kubernetes"
cyber-security,"SIEM, Cryptography, Ethical Hacking, Penetration Testing, Network Security, Linux"
cloud-engineer,"Docker, Kubernetes, CI/CD, AWS, Networking, Linux"
cyber-security,"Ethical Hacking, Linux, Network Security, SIEM, Penetration Testing"
data-scientist,"Scikit-learn, Machine Learning, Python, Statistics, Data Visualization, Pandas"
cyber-security,"SIEM, Ethical Hacking, Linux, Network Security"
cyber-security,"Network Security, Ethical Hacking, Linux, SIEM, Cryptography"
java-dev,"OOP, Hibernate, MySQL, Maven, Spring Boot"
cyber-security,"SIEM, Ethical Hacking, Penetration Testing, Cryptography"
data-scientist,"Pandas, Data Visualization, Python, Statistics, Scikit-learn"
java-dev,"MySQL, OOP, Java, Maven, REST API, Hibernate"
data-scientist,"Scikit-learn, Machine Learning, NumPy, Data Visualization"
ml-engineer,"TensorFlow, Deep Learning, Python, PyTorch"
backend-dev,"Django, Python, Docker, Node.js, REST API"
data-scientist,"Scikit-learn, Machine Learning, Pandas, Data Visualization, Statistics"
java-dev,"Hibernate, Maven, OOP, REST API, Spring Boot"
data-analyst,"Data Cleaning, Python, Tableau, Power BI, Statistics, SQL"
data-analyst,"Data Cleaning, SQL, Excel, Power BI, Python, Statistics"
data-analyst,"Tableau, Statistics, SQL, Python, Excel, Data Cleaning"
cyber-security,"Penetration Testing, Linux, Ethical Hacking, Network Security, SIEM, Cryptography"
java-dev,"Spring Boot, Hibernate, REST API, Maven, MySQL"
data-scientist,"Scikit-learn, NumPy, Machine Learning, Python, Pandas"
data-analyst,"Statistics, Data Cleaning, Python, SQL, Power BI"
cloud-engineer,"Linux, Terraform, Docker, AWS, Kubernetes"
ml-engineer,"TensorFlow, Deep Learning, Data Preprocessing, PyTorch"
cyber-security,"SIEM, Penetration Testing, Cryptography, Linux"
backend-dev,"Docker, Flask, REST API, Django, SQL"
backend-dev,"SQL, REST API, Python, Django, Node.js"
ml-engineer,"MLOps, Python, PyTorch, TensorFlow"
cyber-security,"Linux, Penetration Testing, Cryptography, Ethical Hacking, SIEM"
backend-dev,"REST API, Docker, Node.js, Django, Python, SQL"
cloud-engineer,"AWS, Linux, CI/CD, Terraform"
java-dev,"Spring Boot, Maven, Java, OOP, Hibernate"
frontend-dev,"Git, JavaScript, React, Bootstrap"
java-dev,"MySQL, OOP, Maven, Hibernate, Spring Boot, REST API"
cyber-security,"SIEM, Penetration Testing, Linux, Ethical Hacking, Cryptography, Network Security"
data-analyst,"Tableau, SQL, Python, Data Cleaning, Statistics, Excel"
cyber-security,"Network Security, Ethical Hacking, Penetration Testing, SIEM, Cryptography, Linux"
data-scientist,"NumPy, Machine Learning, Data Visualization, Statistics, Python, Pandas"
frontend-dev,"React, Git, JavaScript, HTML, UI/UX"
data-scientist,"Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, Python"
cyber-security,"Linux, Cryptography, Network Security, Penetration Testing, SIEM, Ethical Hacking"
cyber-security,"Linux, Cryptography, Penetration Testing, SIEM, Ethical Hacking"
java-dev,"MySQL, OOP, Java, Hibernate, Spring Boot, REST API"
cloud-engineer,"Linux, Kubernetes, Terraform, AWS"
frontend-dev,"React, Git, HTML, JavaScript"
data-scientist,"Data Visualization, Pandas, Scikit-learn, Statistics, Machine Learning"
cloud-engineer,"Kubernetes, Networking, Linux, AWS, Docker, CI/CD"
data-scientist,"NumPy, Python, Scikit-learn, Data Visualization"
frontend-dev,"Bootstrap, UI/UX, Git, JavaScript"
java-dev,"REST API, OOP, Maven, Hibernate"
ml-engineer,"MLOps, PyTorch, TensorFlow, Python, Deep Learning, Data Preprocessing"
cyber-security,"Linux, SIEM, Ethical Hacking, Network Security, Cryptography"
data-analyst,"SQL, Python, Statistics, Tableau"
data-scientist,"Pandas, Python, Statistics, Machine Learning, Scikit-learn, Data Visualization"
frontend-dev,"Bootstrap, Git, JavaScript, HTML, CSS"
backend-dev,"SQL, Docker, Python, REST API, Node.js"
data-scientist,"Python, Pandas, Machine Learning, Scikit-learn, Data Visualization"
java-dev,"Spring Boot, OOP, REST API, Hibernate, Java, Maven"
